iter	Passed	Remaining
1220	8953	13044
1221	8958	13034
1222	8966	13028
1223	8975	13022
1224	8984	13018
1225	8992	13012
1226	8998	13002
1227	9004	12993
1228	9010	12984
1229	9017	12975
1230	9023	12966
1231	9029	12957
1232	9034	12947
1233	9040	12937
1234	9049	12933
1235	9058	12928
1236	9070	12926
1237	9076	12918
1238	9082	12909
1239	9088	12899
1240	9094	12890
1241	9099	12879
1242	9103	12868
1243	9108	12856
1244	9112	12844
1245	9116	12833
1246	9120	12821
1247	9124	12810
1248	9129	12798
1249	9133	12786
1250	9137	12775
1251	9141	12763
1252	9145	12751
1253	9150	12740
1254	9154	12729
1255	9159	12717
1256	9163	12706
1257	9167	12694
1258	9172	12683
1259	9176	12672
1260	9180	12660
1261	9185	12649
1262	9189	12638
1263	9193	12627
1264	9197	12615
1265	9202	12604
1266	9206	12592
1267	9210	12581
1268	9215	12570
1269	9219	12559
1270	9223	12547
1271	9227	12535
1272	9232	12524
1273	9236	12513
1274	9240	12502
1275	9244	12490
1276	9249	12479
1277	9253	12467
1278	9257	12456
1279	9261	12445
1280	9265	12433
1281	9270	12422
1282	9274	12411
1283	9279	12401
1284	9283	12390
1285	9287	12379
1286	9292	12367
1287	9296	12356
1288	9300	12345
1289	9305	12334
1290	9309	12323
1291	9313	12312
1292	9317	12301
1293	9322	12290
1294	9326	12279
1295	9331	12268
1296	9334	12257
1297	9338	12245
1298	9342	12234
1299	9347	12223
1300	9351	12211
1301	9355	12200
1302	9359	12188
1303	9362	12177
1304	9367	12166
1305	9371	12155
1306	9375	12144
1307	9379	12132
1308	9383	12121
1309	9387	12110
1310	9391	12099
1311	9395	12088
1312	9400	12077
1313	9406	12068
1314	9415	12065
1315	9422	12056
1316	9430	12051
1317	9442	12049
1318	9461	12058
1319	9483	12070
1320	9516	12095
1321	9527	12093
1322	9546	12100
1323	9558	12099
1324	9568	12095
1325	9592	12110
1326	9606	12111
1327	9617	12108
1328	9638	12118
1329	9649	12116
1330	9661	12115
1331	9675	12116
1332	9686	12113
1333	9696	12109
1334	9705	12105
1335	9718	12104
1336	9730	12102
1337	9746	12106
1338	9773	12124
1339	9784	12120
1340	9792	12114
1341	9810	12119
1342	9827	12124
1343	9849	12135
1344	9856	12128
1345	9862	12119
1346	9880	12125
1347	9895	12127
1348	9915	12135
1349	9926	12132
1350	9932	12123
1351	9942	12119
1352	9953	12116
1353	9961	12109
1354	9972	12106
1355	9985	12106
1356	9992	12099
1357	10001	12093
1358	10008	12085
1359	10018	12081
1360	10027	12075
1361	10033	12066
1362	10039	12057
1363	10045	12048
1364	10051	12040
1365	10056	12029
1366	10061	12019
1367	10065	12008
1368	10070	11997
1369	10074	11986
1370	10079	11976
1371	10083	11965
1372	10088	11954
1373	10092	11943
1374	10097	11933
1375	10101	11922
1376	10106	11911
1377	10111	11901
1378	10115	11890
1379	10119	11879
1380	10123	11868
1381	10128	11858
1382	10133	11847
1383	10138	11837
1384	10142	11826
1385	10146	11815
1386	10151	11805
1387	10155	11794
1388	10160	11784
1389	10164	11773
1390	10169	11763
1391	10174	11752
1392	10178	11742
1393	10182	11731
1394	10187	11720
1395	10191	11710
1396	10195	11699
1397	10200	11688
1398	10204	11677
1399	10208	11667
1400	10212	11656
1401	10217	11645
1402	10221	11634
1403	10225	11624
1404	10230	11614
1405	10234	11603
1406	10239	11592
1407	10243	11582
1408	10247	11571
1409	10252	11561
1410	10256	11550
1411	10260	11539
1412	10265	11529
1413	10269	11518
1414	10273	11508
1415	10279	11499
1416	10285	11490
1417	10290	11480
1418	10294	11470
1419	10299	11460
1420	10304	11449
1421	10308	11439
1422	10313	11429
1423	10317	11418
1424	10321	11408
1425	10326	11398
1426	10331	11388
1427	10336	11378
1428	10340	11368
1429	10344	11357
1430	10349	11347
1431	10354	11337
1432	10358	11327
1433	10362	11316
1434	10368	11307
1435	10376	11301
1436	10387	11298
1437	10400	11296
1438	10415	11298
1439	10424	11293
1440	10432	11286
1441	10444	11284
1442	10453	11279
1443	10461	11272
1444	10468	11265
1445	10477	11260
1446	10488	11256
1447	10496	11250
1448	10508	11248
1449	10518	11244
1450	10531	11242
1451	10542	11239
1452	10553	11236
1453	10567	11235
1454	10575	11229
1455	10587	11227
1456	10598	11223
1457	10611	11222
1458	10623	11220
1459	10637	11219
1460	10645	11213
1461	10661	11215
1462	10675	11215
1463	10697	11223
1464	10714	11226
1465	10722	11219
1466	10736	11220
1467	10751	11220
1468	10763	11217
1469	10772	11212
1470	10782	11207
1471	10789	11199
1472	10801	11197
1473	10810	11191
1474	10822	11189
1475	10832	11185
1476	10841	11179
1477	10849	11172
1478	10855	11164
1479	10861	11155
1480	10867	11146
1481	10874	11138
1482	10881	11130
1483	10886	11121
1484	10892	11112
1485	10897	11102
1486	10902	11093
1487	10908	11084
1488	10914	11075
1489	10921	11068
1490	10927	11059
1491	10933	11050
1492	10940	11042
1493	10946	11034
1494	10952	11026
1495	10959	11017
1496	10966	11010
1497	10973	11002
1498	10979	10993
1499	10985	10985
1500	10991	10977
1501	10997	10968
1502	11003	10959
1503	11009	10951
1504	11015	10942
1505	11021	10933
1506	11027	10925
1507	11033	10916
1508	11039	10907
1509	11044	10897
1510	11049	10888
1511	11054	10878
1512	11058	10868
1513	11063	10859
1514	11068	10849
1515	11073	10839
1516	11080	10831
1517	11085	10822
1518	11090	10812
1519	11094	10802
1520	11099	10792
1521	11103	10782
1522	11108	10772
1523	11112	10762
1524	11116	10752
1525	11121	10742
1526	11125	10732
1527	11130	10722
1528	11134	10711
1529	11138	10701
1530	11142	10691
1531	11146	10680
1532	11150	10670
1533	11154	10660
1534	11158	10649
1535	11162	10639
1536	11166	10629
1537	11171	10619
1538	11175	10608
1539	11179	10598
1540	11183	10588
1541	11187	10578
1542	11191	10568
1543	11195	10557
1544	11200	10547
1545	11204	10537
1546	11208	10527
1547	11212	10517
1548	11217	10507
1549	11221	10497
1550	11225	10486
1551	11229	10476
1552	11233	10467
1553	11238	10457
1554	11242	10446
1555	11246	10436
1556	11250	10426
1557	11253	10416
1558	11257	10405
1559	11262	10395
1560	11266	10386
1561	11270	10376
1562	11275	10366
1563	11279	10356
1564	11283	10346
1565	11287	10336
1566	11291	10326
1567	11295	10315
1568	11299	10305
1569	11303	10295
1570	11308	10285
1571	11312	10276
1572	11316	10266
1573	11320	10256
1574	11325	10246
1575	11330	10238
1576	11341	10233
1577	11348	10226
1578	11358	10221
1579	11365	10214
1580	11374	10208
1581	11386	10206
1582	11393	10198
1583	11400	10191
1584	11407	10183
1585	11415	10177
1586	11424	10171
1587	11431	10164
1588	11441	10159
1589	11455	10158
1590	11463	10152
1591	11472	10146
1592	11480	10140
1593	11488	10133
1594	11498	10128
1595	11505	10120
1596	11514	10116
1597	11521	10108
1598	11530	10102
1599	11539	10097
1600	11547	10090
1601	11557	10085
1602	11564	10078
1603	11572	10071
1604	11579	10064
1605	11586	10057
1606	11594	10050
1607	11606	10047
1608	11617	10043
1609	11628	10039
1610	11637	10033
1611	11645	10027
1612	11654	10021
1613	11662	10015
1614	11670	10008
1615	11677	10001
1616	11688	9997
1617	11699	9993
1618	11711	9990
1619	11720	9984
1620	11733	9981
1621	11742	9976
1622	11753	9972
1623	11764	9968
1624	11778	9966
1625	11791	9963
1626	11799	9957
1627	11806	9950
1628	11823	9950
1629	11835	9948
1630	11842	9939
1631	11848	9931
1632	11855	9924
1633	11863	9917
1634	11870	9910
1635	11882	9906
1636	11889	9899
1637	11895	9890
1638	11902	9883
1639	11909	9875
1640	11915	9867
1641	11922	9860
1642	11928	9852
1643	11934	9843
1644	11939	9835
1645	11945	9826
1646	11950	9817
1647	11956	9808
1648	11961	9799
1649	11966	9790
1650	11970	9781
1651	11975	9771
1652	11980	9762
1653	11985	9753
1654	11989	9743
1655	11994	9734
1656	11998	9724
1657	12003	9715
1658	12008	9706
1659	12013	9697
1660	12019	9689
1661	12024	9680
1662	12030	9671
1663	12036	9663
1664	12041	9654
1665	12046	9646
1666	12053	9638
1667	12058	9629
1668	12064	9621
1669	12070	9613
1670	12076	9604
1671	12082	9596
1672	12087	9587
1673	12094	9580
1674	12102	9573
